0	19263
19263	39441
39441	58400
58400	78411
78411	98326
98326	117957
117957	137765
137765	156734
156734	175550
175550	191445
191445	211290
211290	231558
231558	250154
250154	270259
270259	290350
290350	308274
308274	323847
323847	342641
342641	363181
363181	383366
383366	403127
403127	423611
423611	437392
437392	456514
456514	476341
476341	496915
496915	517540
517540	534405
534405	550517
550517	570100
570100	589085
589085	606748
606748	626900
626900	646859
646859	667114
667114	687163
687163	703148
703148	722699
722699	742878
742878	761000
761000	778198
778198	798429
798429	818698
818698	839105
839105	858160
858160	877772
877772	897499
897499	917967
917967	937644
937644	957408
957408	977425
977425	996010
996010	1016141
1016141	1036052
1036052	1053996
1053996	1074118
1074118	1089725
1089725	1104891
1104891	1120769
1120769	1139231
1139231	1159525
1159525	1179111
1179111	1198142
1198142	1212097
1212097	1231642
1231642	1251785
1251785	1270730
1270730	1290317
1290317	1310359
1310359	1330291
1330291	1343564
1343564	1363167
1363167	1382783
1382783	1402875
1402875	1423136
1423136	1442096
1442096	1461881
1461881	1480985
1480985	1499733
1499733	1519809
1519809	1535516
1535516	1553043
1553043	1572791
1572791	1592302
1592302	1612178
1612178	1631185
1631185	1650897
1650897	1669988
1669988	1687398
1687398	1707149
1707149	1727017
1727017	1747254
1747254	1765163
1765163	1785267
1785267	1802176
1802176	1822864
1822864	1842967
1842967	1860550
1860550	1880774
1880774	1901065
