0	20542
20542	39892
39892	57760
57760	78068
78068	97200
97200	114561
114561	134280
134280	154295
154295	175119
175119	195859
195859	215644
215644	235269
235269	254691
254691	274378
274378	293446
293446	313657
313657	333403
333403	353528
353528	372035
372035	392556
392556	410176
410176	426184
426184	445361
445361	465499
465499	485055
485055	502720
502720	517898
517898	535687
535687	555898
555898	575870
575870	595647
595647	615425
615425	635815
635815	652044
652044	671870
671870	691462
691462	711651
711651	731382
731382	751288
751288	771610
771610	792213
792213	812421
812421	832271
832271	850331
850331	867793
867793	888109
888109	905103
905103	920768
920768	938673
938673	958548
958548	978231
978231	998230
998230	1018120
1018120	1037333
1037333	1057555
1057555	1077115
1077115	1096620
1096620	1114908
1114908	1130218
1130218	1150174
1150174	1165410
1165410	1184880
1184880	1202689
1202689	1223185
1223185	1243506
1243506	1263202
1263202	1283073
1283073	1298691
1298691	1319315
1319315	1339544
1339544	1359520
1359520	1377496
1377496	1397706
1397706	1418428
1418428	1437625
1437625	1456769
1456769	1476692
1476692	1490989
1490989	1511713
1511713	1530419
1530419	1550860
1550860	1569817
1569817	1588150
1588150	1603757
1603757	1623419
1623419	1642925
1642925	1656067
1656067	1675870
1675870	1694584
1694584	1714083
1714083	1733128
1733128	1751622
1751622	1772475
1772475	1791286
1791286	1809606
1809606	1829134
1829134	1844315
1844315	1864237
1864237	1882400
1882400	1901918
