0	20085
20085	39601
39601	55197
55197	73327
73327	92087
92087	110244
110244	128422
128422	148822
148822	162464
162464	182849
182849	202968
202968	223377
223377	244038
244038	262586
262586	281894
281894	301827
301827	316336
316336	336024
336024	353833
353833	373804
373804	394017
394017	412740
412740	432378
432378	452437
452437	471570
471570	490904
490904	510010
510010	529260
529260	547848
547848	566248
566248	586472
586472	604675
604675	624838
624838	644553
644553	665027
665027	683332
683332	702403
702403	722925
722925	742785
742785	762471
762471	782539
782539	802266
802266	822313
822313	838236
838236	856201
856201	876065
876065	895853
895853	916040
916040	934638
934638	954448
954448	972887
972887	991307
991307	1010539
1010539	1029029
1029029	1047369
1047369	1067622
1067622	1087079
1087079	1106492
1106492	1127085
1127085	1147523
1147523	1167652
1167652	1184590
1184590	1204054
1204054	1222134
1222134	1241831
1241831	1260119
1260119	1277690
1277690	1293356
1293356	1313747
1313747	1334036
1334036	1352899
1352899	1373051
1373051	1392184
1392184	1410143
1410143	1427511
1427511	1446876
1446876	1467287
1467287	1487952
1487952	1508405
1508405	1527365
1527365	1546329
1546329	1565653
1565653	1585612
1585612	1604559
1604559	1624158
1624158	1642211
1642211	1661849
1661849	1681823
1681823	1696405
1696405	1715842
1715842	1735490
1735490	1754642
1754642	1775110
1775110	1795169
1795169	1813977
1813977	1833401
1833401	1852806
1852806	1872517
1872517	1892623
1892623	1911795
